Name,degree centrality,closeness centrality,betweenness centrality
TMEM144,9.079353550027238e-05,0.0,0.0
THAP9,0.0003631741420010895,0.0,0.0
TAZ,0.0003631741420010895,0.0,0.0
TES,0.0006355547485019066,0.0,0.0
TCEA2,0.002451425458507354,0.27226135152865993,9.62540212695292e-06
SUN1,0.0003631741420010895,0.0,0.0
STX17,0.00045396767750136187,0.0,0.0
STK3,0.0013619030325040856,0.0,0.0
SPTBN5,0.00018158707100054475,0.0,0.0
RBM15,0.0006355547485019066,0.0,0.0
SOAT2,0.0008171418195024514,0.0,0.0
SOCS6,0.00045396767750136187,0.0,0.0
CARS,0.0003631741420010895,0.0,0.0
SLFN12,9.079353550027238e-05,0.0,0.0
CACYBP,0.00027238060650081714,0.0,0.0
CAP2,9.079353550027238e-05,0.0,0.0
CA4,0.0005447612130016343,0.0,0.0
CACNA2D3,0.0006355547485019066,0.0,0.0
SLC22A2,0.0006355547485019066,0.0,0.0
SGK2,0.000726348284002179,0.0,0.0
C6orf15,0.00018158707100054475,0.0,0.0
SEMA3F,0.0013619030325040856,0.0,0.0
C12orf10,0.0006355547485019066,0.0,0.0
C16orf45,0.00018158707100054475,0.0,0.0
C14orf159,0.000726348284002179,0.0,0.0
S100P,0.00045396767750136187,0.0,0.0
C11orf24,0.00045396767750136187,0.0,0.0
RPL26L1,0.00027238060650081714,0.0,0.0
RPAP1,0.0003631741420010895,0.0,0.0
RANGAP1,0.0005447612130016343,0.0,0.0
RB1CC1,0.0006355547485019066,0.0,0.0
RAB30,0.000726348284002179,0.0,0.0
RAB9A,0.00018158707100054475,0.0,0.0
RAB3D,0.0003631741420010895,0.0,0.0
ATG16L1,0.0003631741420010895,0.0,0.0
ARTN,0.0005447612130016343,0.0,0.0
ARHGEF18,0.00018158707100054475,0.0,0.0
ANXA2,0.00045396767750136187,0.0,0.0
ANXA1,0.0003631741420010895,0.0,0.0
ANK1,0.0005447612130016343,0.0,0.0
AHCY,0.0006355547485019066,0.0,0.0
AHNAK2,0.00027238060650081714,0.0,0.0
ABCG5,0.0009987288905029962,0.0,0.0
ABHD2,0.0003631741420010895,0.0,0.0
ABHD4,0.0010895224260032686,0.0,0.0
ABCG2,0.00027238060650081714,0.0,0.0
NUBP1,0.0003631741420010895,0.0,0.0
PROCR,0.000726348284002179,0.0,0.0
PSMD9,0.00045396767750136187,0.0,0.0
PSMC1,0.00045396767750136187,0.0,0.0
PRPF8,9.079353550027238e-05,0.0,0.0
PLEK2,0.0003631741420010895,0.0,0.0
PLAA,0.00027238060650081714,0.0,0.0
OR1E1,0.0005447612130016343,0.0,0.0
PGM5,0.0006355547485019066,0.0,0.0
OPA1,0.0003631741420010895,0.0,0.0
MTMR11,0.0003631741420010895,0.0,0.0
NECAP1,0.00045396767750136187,0.0,0.0
MTMR2,0.00018158707100054475,0.0,0.0
MT2A,0.0009987288905029962,0.0,0.0
MRPS16,0.00018158707100054475,0.0,0.0
MKS1,0.00027238060650081714,0.0,0.0
MICALL2,0.000726348284002179,0.0,0.0
MFSD12,0.0006355547485019066,0.0,0.0
MFSD6,0.00027238060650081714,0.0,0.0
CCNJL,0.0005447612130016343,0.0,0.0
LY9,0.0006355547485019066,0.0,0.0
LIMK1,0.0005447612130016343,0.0,0.0
LAMB3,0.0005447612130016343,0.0,0.0
KRT3,0.00027238060650081714,0.0,0.0
KIF14,0.000726348284002179,0.0,0.0
KHDC1L,9.079353550027238e-05,0.0,0.0
KCTD20,0.00027238060650081714,0.0,0.0
INPP5A,0.0006355547485019066,0.0,0.0
INA,0.00045396767750136187,0.0,0.0
ICOSLG,0.00045396767750136187,0.0,0.0
IL1RL1,0.00045396767750136187,0.0,0.0
IFRD1,0.00045396767750136187,0.0,0.0
HSPB6,0.0010895224260032686,0.0,0.0
HIVEP3,0.0013619030325040856,0.0003631741420010895,4.587355625630481e-07
HPCA,0.0009079353550027237,0.0,0.0
HRASLS2,0.000726348284002179,0.0,0.0
HIST1H3G,0.0003631741420010895,0.0,0.0
GRSF1,0.0003631741420010895,0.0,0.0
GPC1,0.0003631741420010895,0.0,0.0
GPATCH1,9.079353550027238e-05,0.0,0.0
GDPD3,0.0009987288905029962,0.0,0.0
GIP,0.00027238060650081714,0.0,0.0
FCGR2A,0.00027238060650081714,0.0,0.0
FAM117A,0.0008171418195024514,0.0,0.0
ECH1,0.0003631741420010895,0.0,0.0
DUS4L,0.0006355547485019066,0.0,0.0
DNASE1L1,0.0006355547485019066,0.0,0.0
DHRS9,0.0003631741420010895,0.0,0.0
CYP3A5,9.079353550027238e-05,0.0,0.0
DCSTAMP,0.00018158707100054475,0.0,0.0
CLEC4M,0.00045396767750136187,0.0,0.0
CLIC3,0.00045396767750136187,0.0,0.0
CHRNA9,0.00045396767750136187,0.0,0.0
CHCHD2,0.0003631741420010895,0.0,0.0
ZNF343,0.0003631741420010895,0.0,0.0
VAMP5,0.0006355547485019066,0.0,0.0
TSPAN8,0.0005447612130016343,0.0,0.0
TSPAN15,0.0003631741420010895,0.0,0.0
