Name,degree centrality,closeness centrality,betweenness centrality
ACSL1,0.0011028398125172319,0.0,0.0
ADAM28,0.00027570995312930797,0.0,0.0
ADAMTS3,0.0015623564010660783,0.0,0.0
ADIPOQ,0.0007352265416781545,0.0,0.0
ADIPOR1,0.0006433232239683852,0.0,0.0
ADIPOR2,0.0004595165885488466,0.0,0.0
AKR1B1,0.0013785497656465398,0.0,0.0
AKT1,0.0036761327083907726,0.0,0.0
ALB,0.0010109364948074624,0.0,0.0
ALPP,0.00036761327083907727,0.0,0.0
ANGPTL4,0.001470453083356309,0.0,0.0
APOA1,0.0011947431302270011,0.0,0.0
APOB,0.0010109364948074624,0.0,0.0
APOBR,0.0011947431302270011,0.0,0.0
APOC3,0.0012866464479367704,0.0,0.0
APOE,0.0012866464479367704,0.0,0.0
AREG,0.001470453083356309,0.0,0.0
ATP2A2,0.0022056796250344637,0.0,0.0
AVP,0.0008271298593879239,0.0,0.0
BCL2,0.002940906166712618,0.0,0.0
BTF3P11,0.0004595165885488466,0.0,0.0
CASP3,0.0022975829427442328,0.0,0.0
CCND1,0.006433232239683852,0.0,0.0
CCND2,0.003768036026100542,0.0,0.0
CCNG1,0.0011947431302270011,0.0,0.0
CD36,0.0008271298593879239,0.0,0.0
CD38,0.0004595165885488466,0.0,0.0
CD40,0.0016542597187758478,0.0,0.0
CD83,0.0008271298593879239,0.0,0.0
CDH13,0.0016542597187758478,0.0,0.0
CDK7,0.0013785497656465398,0.0,0.0
CDKN1A,0.003492326072971234,0.0,0.0
CETP,0.0010109364948074624,0.0,0.0
CITED2,0.0031247128021321567,0.3644398258243879,9.460389256243285e-05
CPT1A,0.0012866464479367704,0.0,0.0
CPT2,0.0008271298593879239,0.0,0.0
CRABP2,0.00266519621358331,9.190331770976932e-05,8.614675347431158e-08
CYP19A1,0.0021137763073246943,0.0,0.0
CYP1A1,0.0010109364948074624,0.0,0.0
CYP26A1,0.0009190331770976932,0.0,0.0
CYP27A1,0.0007352265416781545,0.0,0.0
CYP4A11,0.0007352265416781545,0.0,0.0
CYP7A1,0.0007352265416781545,0.0,0.0
DBI,0.0011028398125172319,0.0,0.0
DRD1,0.0007352265416781545,0.0,0.0
ECM1,0.0005514199062586159,0.0,0.0
EDN1,0.001746163036485617,0.0,0.0
EGFR,0.0024813895781637717,0.0,0.0
ELF4,0.0018380663541953863,0.2958112244283102,9.365074689461235e-05
ELK1,0.05238489109456851,0.39477004266878624,0.0006668915040230562
ESR1,0.054222957448763896,0.46368529492652616,0.004212406252778115
ESR2,0.010293171583494163,0.3910011173055543,0.00019582498471090327
ETS1,0.0218729896149251,0.4516069412887097,0.000919370055335775
F9,0.0009190331770976932,0.0,0.0
FABP1,0.0009190331770976932,0.0,0.0
FABP3,0.0008271298593879239,0.0,0.0
FADS2,0.0010109364948074624,0.0,0.0
