Target,Source,p
ATF1,RB1,0.8
ATF1,SLC19A1,0.8
ATF1,SLC20A1,0.8
ATF1,SLC6A4,0.8
ATF1,SPRR3,0.8
ATF1,ST3GAL5,0.8
ATF1,TEAD1,0.8
ATF1,ERBB2,0.8
ATF1,EXOC3,0.8
ATF1,FLI1,0.8
ATF1,TFRC,0.8
ATF1,CD8A,0.8
ATF1,CCNA1,0.8
ATF1,CCL5,0.8
ATF1,CALCA,0.8
ATF1,BRCA1,0.8
ATF1,BCL2,0.8
ATF1,ATM,0.8
ATF1,AVP,0.8
ATF1,ARNT2,0.8
ATF1,AQP3,0.8
ATF1,APEX1,0.8
ATF1,AGXT,0.8
ATF1,AGT,0.8
ATF1,ADRB3,0.8
ATF1,ACHE,0.8
ATF1,TG,0.8
ATF1,TGFB2,0.8
ATF1,TNF,0.8
ATF1,TOP1,0.8
ATF1,TOP2A,0.8
ATF1,UBE2I,0.8
ATF1,UCP1,0.8
ATF1,UGT8,0.8
ATF1,VIPR1,0.8
ATF1,CYP11B2,0.8
ATF1,DPAGT1,0.8
ATF1,EGR1,0.8
ATF1,VIP,0.8
ATF1,TSPAN31,0.8
ATF1,TH,0.8
ATF1,STAT3,0.8
ATF1,MUC1,0.8
ATF1,LDHA,0.8
ATF2,PENK,0.8
ATF2,ACE,0.8
ATF2,APOC3,0.8
ATF2,ATF3,0.8
ATF2,CCNA1,0.8
ATF2,CCND1,0.8
ATF2,CDKN1A,0.8
ATF2,HLA-G,0.8
ATF2,IFNB1,0.8
ATF2,IFNG,0.8
ATF2,IMPDH2,0.8
ATF2,INS,0.8
ATF2,JUN,0.8
ATF2,NT5E,0.8
ATF2,PCK1,0.8
ATF2,PLAT,0.8
ATF2,PTGS2,0.8
ATF2,SELE,0.8
ATF2,TGFB2,0.8
ATF2,TNF,0.8
ATF2,ATF2,0.8
ATF2,CYP11B2,0.8
ATF2,FN1,0.8
ATF2,NR4A2,0.8
ATF2,RB1,0.8
ATF2,VIP,0.8
ATF2,CGA,0.8
ATF2,CYP11B1,0.8
ATF2,FOS,0.8
ATF2,HFE,0.8
ATF2,HLA-E,0.8
ATF2,HLA-F,0.8
ATF2,MAPK14,0.8
ATF2,MAPK13,0.8
ATF2,MAPK12,0.8
ATF2,MAPK11,0.8
ATF3,ASNS,0.8
ATF4,MKNK2,0.8
ATF4,RPS6KA5,0.8
ATF4,RPS6KA4,0.8
ATF4,RPS6KA3,0.8
ATF4,RPS6KA2,0.8
ATF4,RPS6KA1,0.8
ATF4,PRKX,0.8
ATF4,PRKACG,0.8
ATF4,PRKACB,0.8
ATF4,PRKACA,0.8
ATF4,CAMK2B,0.8
ATF4,CAMK2G,0.8
ATF4,CAMK4,0.8
ATF4,CREBBP,0.8
ATF4,DDIT3,0.8
ATF4,EIF2S1,0.8
ATF4,EP300,0.8
ATF4,GSK3B,0.8
ATF4,MAPKAPK2,0.8
ATF4,MAPKAPK3,0.8
ATF4,MKNK1,0.8
ATF4,PPP1R15A,0.8
ATF4,PTGS2,0.8
ATF4,PPP1R15A,0.8
ATF4,HPGD,0.8
ATF4,DISC1,0.8
ATF4,CGA,0.8
ATF4,ASNS,0.8
ATF4,CAMK2A,0.8
ATF4,CXCR5,0.8
ATF4,VIP,0.8
ATF4,RPS6KA6,0.8
ATF5,DISC1,0.8
ATF6,HSPA5,0.8
ATF6,ATP2A2,0.8
ATF6,PSEN2,0.8
ATF6,PSEN1,0.8
ATF6,DDIT3,0.8
ATF6,XBP1,0.8
ATF6,SRF,0.8
ATF6B,DDIT3,0.8
ATM,TP53,0.8
ATM,CHEK2,0.8
ATM,CHEK1,0.8
BCL6,PRDM1,0.8
BRCA1,AKR1B1,0.8
BRCA1,TP53,0.8
BRCA1,TAF10,0.8
BRCA1,STAT3,0.8
BRCA1,ELK4,0.8
BRCA1,ELK1,0.8
BRCA1,DDB2,0.8
BRCA1,BCL2,0.8
BRCA1,AREG,0.8
BRCA1,AR,0.8
BRCA1,ESR1,0.8
BRCA1,ERG,0.8
BRCA1,ETS1,0.8
BRCA1,GADD45A,0.8
BRCA1,IGF1R,0.8
BRCA1,JAK1,0.8
BRCA1,JAK2,0.8
BRCA1,KCNH4,0.8
BRCA1,PCNA,0.8
BRCA2,FHIT,0.8
BRCA2,ESR1,0.8
BRCA2,RAD51,0.8
CEBPA,HOMER3,0.8
CEBPA,HP,0.8
CEBPA,HPX,0.8
CEBPA,HSPA4,0.8
CEBPA,IGF1,0.8
CEBPA,IGFBP1,0.8
CEBPA,IL10,0.8
CEBPA,IL12B,0.8
CEBPA,IL1A,0.8
CEBPA,IL3,0.8
CEBPA,IL4,0.8
CEBPA,IL5,0.8
CEBPA,IRS1,0.8
CEBPA,ITGA2,0.8
CEBPA,ITGA5,0.8
CEBPA,ITGAL,0.8
CEBPA,ITGB2,0.8
CEBPA,IVL,0.8
CEBPA,KAT7,0.8
CEBPA,KCNH4,0.8
CEBPA,KCNMA1,0.8
CEBPA,LBP,0.8
CEBPA,LDLR,0.8
CEBPA,LEP,0.8
CEBPA,LIPC,0.8
CEBPA,LSP1,0.8
CEBPA,LTF,0.8
CEBPA,MAT2A,0.8
CEBPA,MME,0.8
CEBPA,MMP11,0.8
CEBPA,MMP12,0.8
CEBPA,MPO,0.8
CEBPA,MSR1,0.8
CEBPA,MYBL1,0.8
CEBPA,MYC,0.8
CEBPA,NFYA,0.8
CEBPA,NFYB,0.8
CEBPA,NFYC,0.8
CEBPA,NOS2,0.8
CEBPA,NR5A1,0.8
CEBPA,PCK2,0.8
CEBPA,PCNA,0.8
CEBPA,PPARG,0.8
CEBPA,PREB,0.8
CEBPA,PSG1,0.8
CEBPA,PTGS2,0.8
CEBPA,RB1,0.8
CEBPA,RNASE2,0.8
CEBPA,SCD,0.8
CEBPA,SERPINC1,0.8
CEBPA,SFTPD,0.8
CEBPA,SLC10A1,0.8
CEBPA,SLC9A1,0.8
CEBPA,SOD1,0.8
CEBPA,SP1,0.8
CEBPA,SREBF1,0.8
CEBPA,SREBF2,0.8
CEBPA,STAR,0.8
CEBPA,TF,0.8
CEBPA,TGFB1,0.8
CEBPA,TK1,0.8
CEBPA,TOP2A,0.8
CEBPA,TP53,0.8
CEBPA,TPH1,0.8
CEBPA,TWF2,0.8
CEBPA,UBE2L3,0.8
CEBPA,UBP1,0.8
CEBPA,XDH,0.8
CEBPA,GDNF,0.8
CEBPA,GADD45A,0.8
CEBPA,FN1,0.8
CEBPA,FGL2,0.8
CEBPA,FGFBP1,0.8
CEBPA,FGA,0.8
CEBPA,FCAR,0.8
CEBPA,FASN,0.8
CEBPA,FAS,0.8
CEBPA,F9,0.8
CEBPA,F8,0.8
CEBPA,F3,0.8
CEBPA,EPX,0.8
CEBPA,CPS1,0.8
CEBPA,CSF3R,0.8
CEBPA,CSRP1,0.8
CEBPA,IL6,0.8
CEBPA,TFAP2A,0.8
CEBPA,TIMP2,0.8
CEBPA,TSC22D3,0.8
CEBPA,EPO,0.8
CEBPA,ENPP3,0.8
CEBPA,ELN,0.8
CEBPA,ELK1,0.8
CEBPA,RUNX1T1,0.8
CEBPA,FLT3,0.8
CEBPA,ELANE,0.8
CEBPA,EHHADH,0.8
CEBPA,EDN1,0.8
CEBPA,E2F3,0.8
CEBPA,E2F2,0.8
CEBPA,E2F1,0.8
CEBPA,CXCL9,0.8
CEBPA,CSN2,0.8
CEBPA,CSF1,0.8
CEBPA,CREB1,0.8
CEBPA,COMT,0.8
CEBPA,CFTR,0.8
CEBPA,CETP,0.8
CEBPA,CEL,0.8
CEBPA,CDKN1A,0.8
CEBPA,CDK2,0.8
CEBPA,CDH13,0.8
CEBPA,CD19,0.8
CEBPA,CD14,0.8
CEBPA,CCR2,0.8
CEBPA,CCNE1,0.8
CEBPA,CCND1,0.8
CEBPA,CCNB1,0.8
CEBPA,CCL5,0.8
CEBPA,BCL2,0.8
CEBPA,APOB,0.8
CEBPA,APOA1,0.8
CEBPA,ALOX5AP,0.8
CEBPA,ALB,0.8
CEBPA,AGXT,0.8
CEBPA,AGT,0.8
CEBPA,AEBP1,0.8
CEBPA,ADIPOQ,0.8
CEBPA,ACE,0.8
CEBPA,ACACA,0.8
CEBPA,ABCC1,0.8
CEBPA,ABCB1,0.8
CEBPA,GPX4,0.8
CEBPA,GNRHR,0.8
CEBPA,GSK3A,0.8
CEBPA,GSK3B,0.8
CEBPA,GUCY2C,0.8
CEBPA,HBE1,0.8
CEBPA,HMGB1,0.8
CEBPA,HMGCS1,0.8
CEBPA,HMGCS2,0.8
CEBPA,HNF4A,0.8
CEBPB,IL3,0.8
CEBPB,TRIM26,0.8
CEBPB,TNFAIP6,0.8
CEBPB,TNF,0.8
CEBPB,TGFB1,0.8
CEBPB,SOD1,0.8
CEBPB,SMAD4,0.8
CEBPB,SMAD3,0.8
CEBPB,SH2D3C,0.8
CEBPB,SFTPD,0.8
CEBPB,PTGS2,0.8
CEBPB,PTGS1,0.8
CEBPB,PRL,0.8
CEBPB,PRG2,0.8
CEBPB,PPARG,0.8
CEBPB,OTC,0.8
CEBPB,NOS2,0.8
CEBPB,MIA,0.8
CEBPB,MEFV,0.8
CEBPB,LEP,0.8
CEBPB,ITGB2,0.8
CEBPB,INSR,0.8
CEBPB,IL6,0.8
CEBPB,IL5,0.8
CEBPB,IL4,0.8
CEBPB,IL24,0.8
CEBPB,IL1B,0.8
CEBPB,IL1A,0.8
CEBPB,IL18BP,0.8
CEBPB,IL12B,0.8
CEBPB,IL10,0.8
CEBPB,ICAM1,0.8
CEBPB,HPX,0.8
CEBPB,TOP1,0.8
CEBPB,TF,0.8
CEBPB,SPINK1,0.8
CEBPB,CSRP1,0.8
CEBPB,CSF3R,0.8
CEBPB,HP,0.8
CEBPB,HMGCS1,0.8
CEBPB,GADD45G,0.8
CEBPB,FURIN,0.8
CEBPB,FOS,0.8
CEBPB,F8,0.8
CEBPB,F3,0.8
CEBPB,ELN,0.8
CEBPB,DLC1,0.8
CEBPB,CYP19A1,0.8
CEBPB,CRH,0.8
CEBPB,CHAT,0.8
CEBPB,CETP,0.8
CEBPB,CELF1,0.8
CEBPB,CDH13,0.8
CEBPB,CD19,0.8
CEBPB,CD14,0.8
CEBPB,CCL5,0.8
CEBPB,CCL11,0.8
CEBPB,ALB,0.8
CEBPB,AKR1C1,0.8
CEBPB,AFP,0.8
CEBPB,ADM,0.8
CEBPB,ADH6,0.8
CEBPB,ABCC2,0.8
CEBPB,ABCB1,0.8
CEBPD,LEP,0.8
CEBPD,IL1B,0.8
CEBPD,IL1A,0.8
CEBPD,HPX,0.8
CEBPD,HMGCS1,0.8
CEBPD,GADD45G,0.8
CEBPD,C3,0.8
CEBPD,CCL5,0.8
CEBPD,CCND1,0.8
CEBPD,TNF,0.8
CEBPD,TF,0.8
CEBPD,SFTPD,0.8
CEBPD,PTGS2,0.8
CEBPD,NOS2,0.8
CEBPD,MIA,0.8
CEBPD,IL6,0.8
CEBPD,CCNE1,0.8
CEBPD,CETP,0.8
CEBPD,CFTR,0.8
CEBPD,CSRP1,0.8
CEBPD,CYP19A1,0.8
CEBPD,ELN,0.8
CEBPD,F3,0.8
CEBPD,ALOX5AP,0.8
CEBPE,LTF,0.8
CEBPE,SPI1,0.8
CEBPE,NOL3,0.8
CEBPE,MYC,0.8
CEBPE,MYB,0.8
CEBPE,MPO,0.8
CEBPE,GATA1,0.8
CEBPE,ALOX5AP,0.8
CEBPG,SFTPD,0.8
CEBPG,IL4,0.8
CHD8,CTNNB1,0.8
CIITA,RFXANK,0.8
CIITA,CREB1,0.8
CIITA,NFYA,0.8
CIITA,NFYB,0.8
CIITA,NFYC,0.8
CIITA,RFX5,0.8
CIITA,STAT1,0.8
CIITA,RFXAP,0.8
CLOCK,PER3,0.8
CLOCK,RORB,0.8
CLOCK,RORC,0.8
CLOCK,PER2,0.8
CLOCK,PER3,0.8
CLOCK,BHLHE40,0.8
CLOCK,BHLHE41,0.8
CLOCK,CRY1,0.8
CLOCK,CRY2,0.8
CLOCK,PER2,0.8
CLOCK,CSNK1E,0.8
CLOCK,CSNK1D,0.8
CLOCK,CRY2,0.8
CLOCK,CRY1,0.8
CLOCK,RORA,0.8
CREB1,SLC25A21,0.8
CREB1,PDE4D,0.8
CREB1,ARG1,0.8
CREB1,AQP3,0.8
CREB1,ANGPTL4,0.8
CREB1,ADRB3,0.8
CREB1,ADRB2,0.8
CREB1,ADRA1D,0.8
CREB1,ADRA1A,0.8
CREB1,ACHE,0.8
CREB1,INS,0.8
CREB1,JUN,0.8
CREB1,KAT7,0.8
CREB1,KCNN3,0.8
CREB1,LOR,0.8
CREB1,LTC4S,0.8
CREB1,ME2,0.8
CREB1,MSMB,0.8
CREB1,MUC1,0.8
CREB1,MUC4,0.8
CREB1,MYH10,0.8
CREB1,NF1,0.8
CREB1,NFE2,0.8
CREB1,NOS1,0.8
CREB1,NPC1,0.8
CREB1,NR3C2,0.8
CREB1,NR5A1,0.8
CREB1,NRAS,0.8
CREB1,NTS,0.8
CREB1,ODC1,0.8
CREB1,PCDHB11,0.8
CREB1,PCK1,0.8
CREB1,PCK2,0.8
CREB1,PCSK1,0.8
CREB1,PCSK6,0.8
CREB1,PDCL,0.8
CREB1,ATF3,0.8
CREB1,PDYN,0.8
CREB1,PENK,0.8
CREB1,PLAT,0.8
CREB1,PMP22,0.8
CREB1,POLD2,0.8
CREB1,POLG2,0.8
CREB1,PPARA,0.8
CREB1,PPARG,0.8
CREB1,PPRC1,0.8
CREB1,PSEN1,0.8
CREB1,PTGS1,0.8
CREB1,PTGS2,0.8
CREB1,PXMP2,0.8
CREB1,RARB,0.8
CREB1,REN,0.8
CREB1,RETN,0.8
CREB1,REV3L,0.8
CREB1,SERPINB2,0.8
CREB1,SLC19A1,0.8
CREB1,SLC20A1,0.8
CREB1,SLC5A5,0.8
CREB1,SLC6A4,0.8
CREB1,SLC9A1,0.8
CREB1,SPATA2,0.8
CREB1,SPRY2,0.8
CREB1,SRM,0.8
CREB1,ST3GAL5,0.8
CREB1,STAT3,0.8
CREB1,TAT,0.8
CREB1,TBP,0.8
CREB1,TF,0.8
CREB1,TFRC,0.8
CREB1,TG,0.8
CREB1,TGFB2,0.8
CREB1,TGFB3,0.8
CREB1,TH,0.8
CREB1,TWF2,0.8
CREB1,THPO,0.8
CREB1,TIMP1,0.8
CREB1,TINAGL1,0.8
CREB1,TNF,0.8
CREB1,TNFRSF8,0.8
CREB1,TOP1,0.8
CREB1,MITF,0.8
CREB1,VIP,0.8
CREB1,TGFB1,0.8
CREB1,SMAD9,0.8
CREB1,POLB,0.8
CREB1,NR4A3,0.8
