Name,degree centrality,closeness centrality,betweenness centrality
BTF3P11,0.0003192236480878503,0.0,0.0
C21orf33,0.00044691310732299046,0.0,0.0
CASP3,0.0016599629700568216,0.0,0.0
CCND1,0.004532975802847474,0.0,0.0
CCND2,0.0026814786439379426,0.0,0.0
CCNG1,0.0008938262146459809,0.0,0.0
CD36,0.0005746025665581306,0.0,0.0
CD38,0.0003830683777054204,0.0,0.0
CD40,0.001213049862733831,0.0,0.0
CD83,0.0005746025665581306,0.0,0.0
CDH13,0.0011492051331162612,0.0,0.0
CDK7,0.0010853604034986911,0.0,0.0
CDKN1A,0.002426099725467662,0.0,0.0
CETP,0.0007022920257932707,0.0,0.0
CITED2,0.002234565536614952,0.3605188630267496,7.056306992909173e-05
CPT1A,0.0008938262146459809,0.0,0.0
CPT2,0.0005746025665581306,0.0,0.0
CRABP2,0.0019153418885271018,6.384472961757006e-05,4.586160738338361e-08
CYP19A1,0.0015961182404392515,0.0,0.0
CYP1A1,0.0008299814850284108,0.0,0.0
CYP26A1,0.0006384472961757006,0.0,0.0
CYP27A1,0.0005107578369405605,0.0,0.0
CYP4A11,0.0005107578369405605,0.0,0.0
CYP7A1,0.0005107578369405605,0.0,0.0
DBI,0.0008299814850284108,0.0,0.0
DRD1,0.0005107578369405605,0.0,0.0
ECM1,0.0003830683777054204,0.0,0.0
EDN1,0.001213049862733831,0.0,0.0
EGFR,0.0017238076996743917,0.0,0.0
ELF4,0.0012768945923514012,0.29191753528276215,6.474831377743752e-05
ELK1,0.04935197599438166,0.3895386234767309,0.000530134896389271
ESR1,0.04481900019153418,0.4594519956571172,0.0036269948816630526
ESR2,0.007342143906020557,0.3851047412907631,0.00013199827520486492
ETS1,0.015514269297069526,0.4425793177487622,0.0006686105801079666
F9,0.0007022920257932707,0.0,0.0
FABP1,0.0007022920257932707,0.0,0.0
FABP3,0.0006384472961757006,0.0,0.0
FADS2,0.0007022920257932707,0.0,0.0
FBP2,0.0003830683777054204,0.0,0.0
FCER1A,0.00044691310732299046,0.0,0.0
FGB,0.0007022920257932707,0.0,0.0
