cMaxDriver_L,cMaxDriver_B,cMaxDriver_C
NMI,RING1,NAA15
MAML1,TAF7,DAB2
POLR2H,KLF13,SIM2
E2F4,L3MBTL1,MCM5
HOXA1,SP1,CTDP1
RERE,DBP,TFDP2
CTBP1,ARID3A,ESRRA
RXRG,NFYC,COPS2
ZNF165,HDAC4,ID1
CBX3,GTF2F2,ONECUT1
RELB,RFC1,TFAP2B
FHL2,TAF1C,MEF2D
RAD54B,FOXH1,PURA
RXRB,POU1F1,SCAND1
GLI1,BARD1,E2F2
SUPT5H,HBP1,PITX2
KAT2B,KHDRBS1,RARB
UPF1,SIX3,RNF4
PER3,POLR3F,HOXC4
GTF2I,FOXD1,BTG2
NFKBIB,CEBPD,TOB1
SIN3B,E2F5,HOXA2
CHD1,ZMYND11,MYBBP1A
HIRA,TP73,TRIP13
MEIS1,ERCC6,APEX1
POU2F2,FOXD3,HHEX
TRIM29,MXI1,TRIP4
PQBP1,MBD2,FOXP3
TSG101,HSF1,BCL6B
SUB1,ATF2,GTF2F1
PPARA,POLR2E,NR4A2
NR3C1,MEF2A,HOXA5
HIST2H2BE,PIAS2,EEF1A1
NFE2,NR2C2,MBD3
LMO3,ARNTL,UBTF
NCOA3,TCERG1,SATB1
NFIL3,NMI,TAF11
STAT1,MAML1,GTF2A1
TCEB2,POLR2H,SOX9
BACH2,E2F4,IRF3
ISL1,HOXA1,CREM
POU3F1,RERE,ZNF446
EIF2AK2,CTBP1,RBL2
FOXF2,RXRG,MSX2
ZNF24,HMGB2,ZNF408
JUND,ZNF165,PDX1
EED,CBX3,USF2
STAT4,RELB,HEYL
NR1H3,FHL2,FOXG1
SAFB,RXRB,MSC
SKI,GLI1,HEXIM1
SREBF2,SUPT5H,SKIL
SIX1,KAT2B,CREB3
SRF,UPF1,SMAD6
SP3,PER3,DMRTB1
TSC22D3,GTF2I,PTMA
RYBP,NFKBIB,ELK3
NKX6-1,CRX,ASCL3
PTTG1,SIN3B,MLLT6
TCEB3B,TCEA2,SIRT2
BHLHE40,CHD1,BHLHA15
